Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
,56.13658,100,38, WIN,1.847098
,56.24899,100,41, WIN,1.838171
,60.27457,100,45, WIN,1.711262
,64.29244,100,51, WIN,1.597924
,66.31623,100,57, WIN,1.545158
,68.30853,100,58, WIN,1.497827
,72.3156,100,64, WIN,1.412075
,76.33116,100,68, WIN,1.334773
,77.16226,100,68, WIN,1.318783
,80.34671,100,72, WIN,1.265375
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
0Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
0,14.27159, 100,9, WIN,7.006928
,18.33419, 100,17, WIN,8.828261
,21.34689, 100,18, WIN,7.988097
27.35489Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
0,6.545274, 100,3, WIN,15.2782
12.55796,13.11613, 100,4, WIN,179.1577
,14.37409, 100,6, WIN,-0.6068565
21.38455Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
0Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
0,10.85938, 100,8, WIN,9.20863
,15.76283, 100,14, WIN,15.2574
17.92238,20.76751, 100,4, WIN,35.14782
,22.09027, 100,-14, WIN,-7.658407
,26.5316, 100,-12, WIN,2.924831
,31.85453, 100,-6, WIN,3.456655
32.57877,37.1619, 100,6, WIN,21.81913
,41.9611, 100,12, WIN,4.964758
,43.38619, 100,16, WIN,2.602714
,45.87167, 100,19, WIN,2.311126
48.89471,49.98072, 100,1, WIN,92.08083
,53.67804, 100,6, WIN,-2.603977
,53.85636, 100,6, WIN,1.771155
,57.44459, 100,10, WIN,1.796189
60.68735,62.24366, 100,1, WIN,64.25429
,62.73461, 100,2, WIN,-65.80333
,66.65114, 100,6, WIN,0.7549764
66.79048,70.30027, 100,4, WIN,28.49174
71.30643,72.8159, 100,4, WIN,66.2485
,74.35082, 100,4, WIN,12.34215
,76.24034, 100,5, WIN,1.564989
,78.28636, 100,6, WIN,1.303418
,82.63506, 100,10, WIN,1.229534
,84.92085, 100,12, WIN,1.194867
,87.02234, 100,17, WIN,1.165128
,89.08001, 100,22, WIN,1.137464
,91.11893, 100,22, WIN,1.11134
,91.71249, 100,22, WIN,1.103739
,93.07003, 100,24, WIN,1.087355
,94.61382, 100,24, WIN,1.069216
,96.30283, 100,24, WIN,1.050049
,96.81882, 100,24, WIN,1.044182
,97.4324, 100,24, WIN,1.037471
,99.15385, 100,24, WIN,1.019198
,100.7117, 100,24, WIN,1.003085
,103.2104, 100,24, WIN,0.978404
,104.1326, 100,24, WIN,0.9694226
,104.5989, 100,24, WIN,0.9649767
,105.1205, 100,24, WIN,0.960103
,105.7853, 100,24, WIN,0.953969
,107.4234, 100,24, WIN,0.9392366
,108.0319, 100,24, WIN,0.9337706
,109.5937, 100,24, WIN,0.9203022
,112.2413, 100,24, WIN,0.8983032
115.0463,115.1014, 100,0, WIN,1813.643
,115.6662, 100,1, WIN,-0.05889361
,120.311, 100,7, WIN,0.8307722
,121.1387, 100,8, WIN,0.8312004
,124.726, 100,9, WIN,0.8071365
,126.1852, 100,14, WIN,0.7975879
126.3389,126.4021, 100,0, WIN,1580.895
,130.7988, 100,2, WIN,-0.06896095
133.2253,133.2662, 100,0, WIN,2444.461
,134.4957, 100,0, WIN,-0.04329069
137.8068,137.8249,0,100, LOSS
,137.9249,45,100, LOSS
,138.0249,90,100, LOSS
,138.0249, 100,100, WIN,458.454
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
0Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
180.3738Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
286.6689Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
399.7327Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
497.3954Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
563.6455Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
654.63Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
744.6024Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
Encounter Start, Encounter End, Damage Done, Damage Taken, Result, DPS 
836.8486
